bin,t2_us,t4_us,t6_us,t8_us,t10_us,t12_us
-10,0.0,8.816524472187429e-06,0.00231224,0.00233621,0.0,0.0
-9,0.00492076,0.00476873,0.00300849,0.00152478,0.00278005,0.0
-8,0.000441338,0.0,0.00184002,0.0,0.0,0.00190563
-7,0.0,0.00223428,0.0,0.0,0.0,0.00365068
-6,0.00367913,0.000622589,0.0027746,0.00993269,0.0,0.0
-5,0.00652666,0.00801422,0.0069641,0.00652456,0.0,0.0
-4,0.00106362,0.00304224,0.0,0.0,0.0102854,0.0
-3,0.0,0.0114853,0.00218453,0.0,0.00809035,0.0194878
-2,0.00546204,0.00702043,0.00758402,0.0404137,0.0696597,0.0997225
-1,0.0114589,0.111214,0.211929,0.228248,0.23394,0.233374
0,0.939412,0.711316,0.542654,0.424121,0.355728,0.311074
1,0.0115026,0.122789,0.200422,0.234391,0.233602,0.226652
2,0.0,0.0,0.00813334,0.036026,0.0707761,0.0896755
3,0.00699526,0.0,0.0,0.000625495,0.00428965,0.0144578
4,0.00139461,0.0,0.000155528,0.00509179,0.00185746,0.0
5,0.0,0.00558552,0.0,0.0,0.0,0.0
6,0.0,0.00530585,0.00291288,0.000681449,0.00489459,0.0
7,0.00363033,0.00279782,0.00348643,0.0,0.000375814,0.0
8,0.0,0.0,0.0,0.00522588,0.0,0.0
9,0.00351325,0.0037953,0.0,0.0,0.0,0.0
10,0.0,0.0,0.00363914,0.00485772,0.00372105,0.0
